key,name,Cores,Memory,Price
0,Azure E2 ,2,16,16
1,Azure E4 ,4,32,32
2,Azure E8 ,8,64,64
3,Azure E16,16,128,128
4,Azure E20,20,160,160
5,Azure E32,32,256,256
6,Azure E48,48,384,384
7,Azure E64,64,512,512
